"fin" "slice" "csa" "NA" "NA"
"Aligned_ray1_v" 59 0.062341407 0.000269892 0.000449821
"Aligned_ray1_v" 60 0.093512111 0.000750301 0.000923032
"Aligned_ray1_v" 61 0.062341407 0.000384351 0.000389341
"Aligned_ray1_v" 62 0.072731642 0.00045039 0.000477526
"Aligned_ray1_v" 63 0.062341407 0.000269892 0.000449821
"Aligned_ray1_v" 64 0.083121876 0.00047681 0.000719713
"Aligned_ray1_v" 65 0.051951173 0.00018845 0.000419708
"Aligned_ray1_v" 66 0.083121876 0.00047681 0.000719713
"Aligned_ray1_v" 67 0.124682815 0.000829318 0.002040539
"Aligned_ray1_v" 68 0.103902346 0.000613913 0.001476853
"Aligned_ray1_v" 69 0.103902346 0.000708612 0.001209424
"Aligned_ray1_v" 70 0.124682815 0.000829318 0.002040539
"Aligned_ray1_v" 71 0.072731642 0.000432642 0.000649498
"Aligned_ray1_v" 72 0.072731642 0.000278889 0.000710717
"Aligned_ray1_v" 73 0.051951173 0.00018845 0.000419708
"Aligned_ray1_v" 74 0.041560938 0.000143943 0.000359857
"Aligned_ray1_v" 75 0.051951173 0.000260896 0.000260896
"Aligned_ray1_v" 76 0.051951173 0.000260896 0.000260896
"Aligned_ray1_v" 77 0.062341407 0.000225566 0.000476155
"Aligned_ray1_v" 78 0.062341407 0.000304269 0.000631358
"Aligned_ray1_v" 79 0.051951173 0.000260896 0.000260896
"Aligned_ray1_v" 80 0.041560938 0.000124891 0.000243962
"Aligned_ray1_v" 81 0.062341407 0.000225566 0.000476155
"Aligned_ray1_v" 82 0.062341407 0.000269892 0.000449821
"Aligned_ray1_v" 83 0.062341407 0.000269892 0.000449821
"Aligned_ray1_v" 84 0.051951173 0.000216258 0.000521448
"Aligned_ray1_v" 85 0.041560938 9.4116e-05 0.000355704
"Aligned_ray1_v" 86 0.051951173 0.000260896 0.000260896
"Aligned_ray1_v" 87 0.051951173 0.000162244 0.000359548
"Aligned_ray1_v" 88 0.062341407 0.000225566 0.000476155
"Aligned_ray1_v" 89 0.051951173 0.000109756 0.000584767
"Aligned_ray1_v" 90 0.051951173 0.000152939 0.000541584
"Aligned_ray1_v" 91 0.051951173 0.00014109 0.000639799
"Aligned_ray2_d" 20 0.062341407 0.000269892 0.000449821
"Aligned_ray2_d" 21 0.072731642 0.00045039 0.000477526
"Aligned_ray2_d" 22 0.072731642 0.00045039 0.000477526
"Aligned_ray2_d" 23 0.072731642 0.00045039 0.000477526
"Aligned_ray2_d" 24 0.072731642 0.00045039 0.000477526
"Aligned_ray2_d" 25 0.072731642 0.00045039 0.000477526
"Aligned_ray2_d" 26 0.072731642 0.00045039 0.000477526
"Aligned_ray2_d" 27 0.062341407 0.000269892 0.000449821
