fin	slice	csa	second_moment_min	second_moment_max
Aligned_pair3_v	184	1.132	0.072	0.153
Aligned_pair3_v	185	1.132	0.072	0.153
Aligned_pair3_v	186	1.122	0.07	0.151
Aligned_pair3_v	187	1.083	0.068	0.141
Aligned_pair3_v	188	1.147	0.074	0.16
Aligned_pair3_v	189	1.152	0.075	0.159
Aligned_pair3_v	190	1.167	0.076	0.165
Aligned_pair3_v	191	1.127	0.072	0.152
Aligned_pair3_v	192	1.167	0.08	0.158
Aligned_pair3_v	193	1.122	0.069	0.154
Aligned_pair3_v	194	1.147	0.075	0.157
Aligned_pair3_v	195	1.132	0.074	0.155
Aligned_pair3_v	196	1.127	0.071	0.153
Aligned_pair3_v	197	1.113	0.068	0.155
Aligned_pair3_v	198	1.073	0.062	0.147
Aligned_pair3_v	199	1.098	0.063	0.159
Aligned_pair3_v	200	1.069	0.061	0.146
Aligned_pair3_v	201	1.069	0.061	0.153
Aligned_pair3_v	202	1.02	0.056	0.14
Aligned_pair3_v	203	1.02	0.055	0.137
Aligned_pair3_v	204	0.985	0.051	0.127
Aligned_pair3_v	205	1.015	0.054	0.135
Aligned_pair3_v	206	0.985	0.051	0.126
Aligned_pair3_v	207	0.956	0.046	0.127
Aligned_pair3_v	208	0.946	0.047	0.123
Aligned_pair3_v	209	0.917	0.043	0.115
Aligned_pair3_v	210	0.917	0.043	0.114
Aligned_pair3_v	211	0.946	0.043	0.125
Aligned_pair3_v	212	0.922	0.041	0.125
Aligned_pair3_v	213	0.922	0.04	0.126
Aligned_pair3_v	214	0.897	0.038	0.123
Aligned_pair3_v	215	0.887	0.036	0.122
Aligned_pair3_v	216	0.902	0.037	0.123
Aligned_pair3_v	217	0.877	0.035	0.117
Aligned_pair3_v	218	0.853	0.032	0.115
Aligned_pair2_d	7	1.152	0.074	0.173
Aligned_pair2_d	8	1.377	0.123	0.204
Aligned_pair2_d	9	1.554	0.184	0.208
Aligned_pair2_d	10	1.642	0.21	0.223
Aligned_pair2_d	11	1.662	0.216	0.229
Aligned_pair2_d	12	1.637	0.208	0.225
Aligned_pair2_d	13	1.637	0.201	0.233
Aligned_pair2_d	14	1.662	0.21	0.238
Aligned_pair2_d	15	1.711	0.211	0.265
Aligned_pair2_d	16	1.671	0.206	0.247
Aligned_pair2_d	17	1.696	0.213	0.252
Aligned_pair2_d	18	1.716	0.215	0.263
Aligned_pair2_d	19	1.686	0.208	0.252
Aligned_pair2_d	20	1.696	0.204	0.264
Aligned_pair2_d	21	1.671	0.195	0.26
Aligned_pair2_d	22	1.627	0.189	0.241
Aligned_pair2_d	23	1.642	0.187	0.252
Aligned_pair2_d	24	1.681	0.187	0.276
Aligned_pair2_d	25	1.647	0.182	0.264
Aligned_pair2_d	26	1.613	0.169	0.259
Aligned_pair2_d	27	1.622	0.17	0.265
Aligned_pair2_d	28	1.578	0.158	0.253
Aligned_pair2_d	29	1.603	0.159	0.269
Aligned_pair2_d	30	1.618	0.157	0.28
Aligned_pair2_d	31	1.608	0.154	0.283
Aligned_pair2_d	32	1.598	0.153	0.28
Aligned_pair2_d	33	1.622	0.151	0.298
Aligned_pair2_d	34	1.603	0.144	0.3
Aligned_pair2_d	35	1.554	0.139	0.273
Aligned_pair2_d	36	1.554	0.136	0.279
Aligned_pair2_d	37	1.539	0.135	0.27
Aligned_pair2_d	38	1.529	0.134	0.265
Aligned_pair2_d	39	1.534	0.135	0.265
Aligned_pair2_d	40	1.588	0.147	0.281
Aligned_pair2_d	41	1.608	0.155	0.279
Aligned_pair2_d	42	1.578	0.156	0.258
Aligned_pair2_d	43	1.642	0.167	0.285
Aligned_pair2_d	44	1.622	0.163	0.277
Aligned_pair2_d	45	1.662	0.173	0.29
Aligned_pair2_d	46	1.696	0.18	0.302
Aligned_pair2_d	47	1.711	0.185	0.305
Aligned_pair2_d	48	1.735	0.183	0.326
