"fin" "slice" "csa" "second_moment_min" "second_moment_max"
"Aligned_pair2_v" 66 0.082 0.000383 0.000904
"Aligned_pair2_v" 67 0.077 0.000347 0.000789
"Aligned_pair2_v" 68 0.078 0.000348 0.000828
"Aligned_pair2_v" 69 0.084 0.000372 0.001
"Aligned_pair2_v" 70 0.086 0.000437 0.000999
"Aligned_pair2_v" 71 0.095 0.000474 0.001
"Aligned_pair2_v" 72 0.092 0.000461 0.001
"Aligned_pair2_v" 73 0.089 0.000454 0.001
"Aligned_pair2_v" 74 0.089 0.000412 0.001
"Aligned_pair2_v" 75 0.085 0.00037 0.001
"Aligned_pair2_v" 76 0.077 0.000317 0.000852
"Aligned_pair2_v" 77 0.081 0.000369 0.000864
"Aligned_pair2_v" 78 0.086 0.000416 0.000977
"Aligned_pair2_v" 79 0.086 0.000381 0.001
"Aligned_pair2_v" 80 0.081 0.000366 0.000878
"Aligned_pair2_v" 81 0.078 0.000343 0.00082
"Aligned_pair2_v" 82 0.076 0.000363 0.000635
"Aligned_pair2_v" 83 0.072 0.000374 0.000509
"Aligned_pair2_v" 84 0.07 0.000401 0.000495
"Aligned_pair3_d" 9 0.117 0.000756 0.002
"Aligned_pair3_d" 10 0.119 0.000734 0.002
"Aligned_pair3_d" 11 0.107 0.000614 0.001
"Aligned_pair3_d" 12 0.103 0.000603 0.001
"Aligned_pair3_d" 13 0.109 0.00067 0.001
"Aligned_pair3_d" 14 0.113 0.000664 0.002
"Aligned_pair3_d" 15 0.112 0.000609 0.002
"Aligned_pair3_d" 16 0.109 0.000593 0.002
"Aligned_pair3_d" 17 0.101 0.000476 0.002
"Aligned_pair3_d" 18 0.103 0.00047 0.002
"Aligned_pair3_d" 19 0.107 0.000496 0.002
"Aligned_pair3_d" 20 0.099 0.000429 0.002
"Aligned_pair3_d" 21 0.109 0.000496 0.002
"Aligned_pair3_d" 22 0.116 0.000585 0.002
"Aligned_pair3_d" 23 0.111 0.000632 0.002
"Aligned_pair3_d" 24 0.111 0.000653 0.002
"Aligned_pair3_d" 25 0.12 0.000775 0.002
"Aligned_pair3_d" 26 0.116 0.000748 0.002
"Aligned_pair3_d" 27 0.12 0.000721 0.002
"Aligned_pair3_d" 28 0.112 0.000644 0.002
"Aligned_pair3_d" 29 0.111 0.000634 0.002
"Aligned_pair3_d" 30 0.112 0.000587 0.002
"Aligned_pair3_d" 31 0.122 0.000694 0.002
"Aligned_pair3_d" 32 0.112 0.000598 0.002
"Aligned_pair3_d" 33 0.107 0.000593 0.001
"Aligned_pair3_d" 34 0.108 0.000585 0.002
"Aligned_pair3_d" 35 0.104 0.000532 0.002
"Aligned_pair3_d" 36 0.103 0.000521 0.002
"Aligned_pair3_d" 37 0.104 0.00049 0.002
"Aligned_pair3_d" 38 0.101 0.000484 0.001
"Aligned_pair3_d" 39 0.103 0.000479 0.002
"Aligned_pair3_d" 40 0.09 0.000408 0.001
"Aligned_pair3_d" 41 0.099 0.000413 0.002
"Aligned_pair3_d" 42 0.089 0.000333 0.001
"Aligned_pair3_d" 43 0.097 0.000421 0.002
"Aligned_pair3_d" 44 0.09 0.000363 0.001
"Aligned_pair3_d" 45 0.093 0.000354 0.001
"Aligned_pair3_d" 46 0.088 0.000331 0.001
"Aligned_pair3_d" 47 0.081 0.000268 0.001
"Aligned_pair3_d" 48 0.082 0.000266 0.001
"Aligned_pair3_d" 49 0.076 0.000243 0.001
"Aligned_pair3_d" 50 0.077 0.000248 0.001
"Aligned_pair3_d" 51 0.081 0.000323 0.000972
"Aligned_pair3_d" 52 0.09 0.000477 0.001
"Aligned_pair3_d" 53 0.093 0.000533 0.001
"Aligned_pair3_d" 54 0.093 0.000519 0.001
"Aligned_pair3_d" 55 0.1 0.000504 0.001
"Aligned_pair3_d" 56 0.095 0.000479 0.001
"Aligned_pair3_d" 57 0.09 0.000434 0.001
"Aligned_pair3_d" 58 0.099 0.000582 0.001
"Aligned_pair3_d" 59 0.099 0.000615 0.001
"Aligned_pair3_d" 60 0.1 0.000603 0.001
"Aligned_pair3_d" 61 0.103 0.000571 0.001
"Aligned_pair3_d" 62 0.093 0.000519 0.001
"Aligned_pair3_d" 63 0.096 0.000572 0.001
"Aligned_pair3_d" 64 0.097 0.000531 0.001
"Aligned_pair3_d" 65 0.093 0.000471 0.001
"Aligned_pair3_d" 66 0.088 0.000454 0.000915
"Aligned_pair3_d" 67 0.086 0.000391 0.001
"Aligned_pair3_d" 68 0.073 0.00024 0.000854
"Aligned_pair3_d" 69 0.072 0.00026 0.000784
"Aligned_pair3_d" 70 0.072 0.000216 0.000928
"Aligned_pair3_d" 71 0.076 0.000234 0.001
"Aligned_pair3_d" 72 0.073 0.000211 0.000952
"Aligned_pair3_d" 73 0.088 0.000305 0.002
"Aligned_pair3_d" 74 0.096 0.000364 0.002
"Aligned_pair3_d" 75 0.089 0.000313 0.001
"Aligned_pair3_v" 6 0.081 0.000299 0.001
"Aligned_pair3_v" 7 0.084 0.000376 0.000885
"Aligned_pair3_v" 8 0.078 0.000299 0.000884
"Aligned_pair3_v" 9 0.08 0.000329 0.000863
"Aligned_pair3_v" 10 0.084 0.000342 0.000986
"Aligned_pair3_v" 11 0.082 0.000386 0.000825
"Aligned_pair3_v" 12 0.089 0.000441 0.000997
"Aligned_pair3_v" 13 0.084 0.000423 0.000852
"Aligned_pair3_v" 14 0.084 0.000396 0.000883
"Aligned_pair3_v" 15 0.078 0.000317 0.000855
"Aligned_pair3_v" 16 0.078 0.000383 0.000717
"Aligned_pair3_v" 17 0.084 0.000362 0.000982
"Aligned_pair3_v" 18 0.074 0.000279 0.000771
"Aligned_pair3_v" 19 0.073 0.000255 0.000743
"Aligned_pair3_v" 20 0.073 0.000269 0.000718
"Aligned_pair3_v" 21 0.07 0.000238 0.000766
"Aligned_pair3_v" 22 0.074 0.000221 0.000933
"Aligned_pair3_v" 23 0.078 0.000232 0.001
"Aligned_pair3_v" 24 0.076 0.000229 0.00096
"Aligned_pair3_v" 25 0.078 0.000254 0.001
"Aligned_pair3_v" 26 0.082 0.000329 0.000937
"Aligned_pair3_v" 27 0.085 0.00034 0.001
"Aligned_pair3_v" 28 0.081 0.000341 0.000849
"Aligned_pair3_v" 29 0.08 0.00028 0.001
"Aligned_pair3_v" 30 0.073 0.00029 0.000738
"Aligned_pair3_v" 31 0.074 0.000239 0.000991
"Aligned_pair3_v" 32 0.072 0.000199 0.00091
"Aligned_pair3_v" 33 0.074 0.000208 0.001
"Aligned_pair3_v" 34 0.07 0.000201 0.000856
"Aligned_pair3_v" 35 0.065 0.000175 0.000729
"Aligned_pair3_v" 36 0.066 0.000187 0.000725
"Aligned_pair3_v" 37 0.069 0.000257 0.000647
"Aligned_pair3_v" 38 0.076 0.000332 0.000687
"Aligned_pair3_v" 39 0.077 0.000349 0.000703
"Aligned_pair3_v" 40 0.084 0.00043 0.000759
"Aligned_pair3_v" 41 0.082 0.000445 0.000685
"Aligned_pair3_v" 42 0.084 0.000429 0.000783
"Aligned_pair3_v" 43 0.09 0.000484 0.000945
"Aligned_pair3_v" 44 0.096 0.000517 0.001
"Aligned_pair3_v" 45 0.095 0.000531 0.001
"Aligned_pair3_v" 46 0.1 0.000555 0.001
"Aligned_pair3_v" 47 0.1 0.000603 0.001
"Aligned_pair3_v" 48 0.099 0.000526 0.001
"Aligned_pair3_v" 49 0.09 0.000493 0.000927
"Aligned_pair3_v" 50 0.093 0.000445 0.001
"Aligned_pair3_v" 51 0.093 0.000527 0.000966
"Aligned_pair3_v" 52 0.095 0.00059 0.000992
"Aligned_pair3_v" 53 0.1 0.000716 0.000951
"Aligned_pair3_v" 54 0.103 0.00072 0.001
"Aligned_pair3_v" 55 0.105 0.000799 0.001
"Aligned_pair3_v" 56 0.105 0.00077 0.001
"Aligned_pair3_v" 57 0.1 0.000739 0.000903
"Aligned_pair3_v" 58 0.099 0.000681 0.000978
"Aligned_pair3_v" 59 0.093 0.000542 0.000961
"Aligned_pair3_v" 60 0.097 0.000594 0.000993
"Aligned_pair3_v" 61 0.097 0.00054 0.001
"Aligned_pair3_v" 62 0.095 0.000616 0.000903
"Aligned_pair3_v" 63 0.086 0.000492 0.000788
"Aligned_pair3_v" 64 0.093 0.000604 0.000839
"Aligned_pair3_v" 65 0.097 0.000645 0.000929
"Aligned_pair3_v" 66 0.097 0.00068 0.000878
"Aligned_pair3_v" 67 0.093 0.000604 0.000849
"Aligned_pair3_v" 68 0.095 0.000594 0.000896
"Aligned_pair3_v" 69 0.093 0.000508 0.001
"Aligned_pair3_v" 70 0.088 5e-04 0.000835
"Aligned_pair3_v" 71 0.089 0.00043 0.001
"Aligned_pair3_v" 72 0.089 0.000494 0.000877
"Aligned_pair1_d" 11 0.107 0.000618 0.001
"Aligned_pair1_d" 12 0.109 0.000632 0.002
"Aligned_pair1_d" 13 0.111 0.000648 0.002
"Aligned_pair1_d" 14 0.105 0.000606 0.001
"Aligned_pair1_d" 15 0.108 0.000552 0.002
"Aligned_pair1_d" 16 0.109 0.000624 0.002
"Aligned_pair1_d" 17 0.116 0.000765 0.002
"Aligned_pair1_d" 18 0.116 0.000798 0.002
"Aligned_pair1_d" 19 0.119 0.000863 0.002
"Aligned_pair1_d" 20 0.113 0.000747 0.002
"Aligned_pair1_d" 21 0.12 0.000933 0.002
"Aligned_pair1_d" 22 0.124 0.001 0.002
"Aligned_pair1_d" 23 0.111 0.000768 0.002
"Aligned_pair1_d" 24 0.103 0.00069 0.001
"Aligned_pair1_d" 25 0.104 0.000647 0.001
"Aligned_pair1_d" 26 0.099 0.000608 0.001
"Aligned_pair1_d" 27 0.1 0.000587 0.001
"Aligned_pair1_d" 28 0.1 0.00056 0.001
"Aligned_pair1_d" 29 0.1 0.000604 0.001
"Aligned_pair1_d" 30 0.096 0.00051 0.001
"Aligned_pair1_d" 31 0.104 0.000605 0.001
"Aligned_pair1_d" 32 0.1 0.000561 0.001
"Aligned_pair1_d" 33 0.109 0.000692 0.001
"Aligned_pair1_d" 34 0.108 0.00063 0.001
"Aligned_pair1_d" 35 0.113 0.000719 0.002
"Aligned_pair1_d" 36 0.108 0.000634 0.002
"Aligned_pair1_d" 37 0.112 0.000699 0.002
"Aligned_pair1_d" 38 0.111 0.000682 0.002
"Aligned_pair1_d" 39 0.109 0.000684 0.001
"Aligned_pair1_d" 40 0.113 0.000738 0.002
"Aligned_pair1_d" 41 0.112 0.000698 0.002
"Aligned_pair1_d" 42 0.103 0.000701 0.001
"Aligned_pair1_d" 43 0.101 0.000672 0.001
"Aligned_pair1_d" 44 0.104 0.000655 0.001
"Aligned_pair1_d" 45 0.105 0.000662 0.001
"Aligned_pair1_d" 46 0.104 0.000689 0.001
"Aligned_pair1_d" 47 0.107 0.000681 0.001
"Aligned_pair1_d" 48 0.103 0.000638 0.001
"Aligned_pair1_d" 49 0.103 0.000598 0.001
"Aligned_pair1_d" 50 0.105 0.00067 0.001
"Aligned_pair1_d" 51 0.113 0.000809 0.001
"Aligned_pair1_d" 52 0.111 0.000775 0.001
"Aligned_pair1_d" 53 0.109 0.000729 0.001
"Aligned_pair1_d" 54 0.113 0.000686 0.002
"Aligned_pair1_d" 55 0.107 0.000686 0.001
"Aligned_pair1_d" 56 0.117 8e-04 0.002
"Aligned_pair1_d" 57 0.115 0.000878 0.001
"Aligned_pair1_d" 58 0.115 0.000835 0.001
"Aligned_pair1_d" 59 0.105 0.000698 0.001
"Aligned_pair1_d" 60 0.1 0.00062 0.001
"Aligned_pair1_d" 61 0.103 0.000584 0.001
"Aligned_pair1_d" 62 0.099 0.000558 0.001
"Aligned_pair1_d" 63 0.095 0.000504 0.001
"Aligned_pair1_d" 64 0.092 0.000525 0.000905
"Aligned_pair1_d" 65 0.089 0.000514 0.000839
"Aligned_pair1_d" 66 0.081 0.000412 0.000713
"Aligned_pair1_d" 67 0.082 0.00037 9e-04
"Aligned_pair1_d" 68 0.08 0.000295 0.000943
"Aligned_pair1_d" 69 0.074 0.000298 0.000758
"Aligned_pair1_d" 70 0.07 0.000271 0.00065
"Aligned_pair1_d" 71 0.061 0.000204 0.000477
"Aligned_pair1_d" 72 0.061 0.000218 0.000433
"Aligned_pair1_d" 73 0.07 0.00032 0.000528
"Aligned_pair1_d" 74 0.076 0.000396 0.00057
"Aligned_pair1_d" 75 0.084 0.000477 0.00071
"Aligned_pair1_d" 76 0.084 0.000511 0.000652
"Aligned_pair1_d" 77 0.076 0.000429 0.00054
"Aligned_pair1_d" 78 0.076 0.00046 0.000489
"Aligned_pair1_d" 79 0.081 0.000532 0.000591
"Aligned_pair1_d" 80 0.086 0.000574 0.000688
"Aligned_pair1_d" 81 0.093 0.000605 0.000858
"Aligned_pair1_d" 82 0.096 0.000655 0.000881
"Aligned_pair1_d" 83 0.097 0.000651 0.000953
"Aligned_pair1_d" 84 0.103 0.000757 0.001
"Aligned_pair1_d" 85 0.109 0.000877 0.001
"Aligned_pair1_d" 86 0.099 0.000706 0.000892
"Aligned_pair1_d" 87 0.105 0.000719 0.001
"Aligned_pair1_d" 88 0.084 0.000498 0.000662
"Aligned_pair1_d" 89 0.086 0.000528 0.000703
"Aligned_pair1_d" 90 0.093 0.000572 0.000879
"Aligned_pair1_d" 91 0.084 0.000534 0.000621
"Aligned_pair1_d" 92 0.084 0.000438 0.000788
"Aligned_pair1_d" 93 0.084 0.00043 0.000797
"Aligned_pair1_d" 94 0.078 0.000361 0.000741
"Aligned_pair1_d" 95 0.086 0.000519 0.000777
"Aligned_pair1_d" 96 0.096 0.000678 0.000859
"Aligned_pair1_d" 97 0.09 0.000602 0.000776
"Aligned_pair1_d" 98 0.093 0.000692 0.000728
"Aligned_pair1_d" 99 0.088 0.000532 0.000776
"Aligned_pair1_d" 100 0.093 0.000632 0.000809
"Aligned_pair1_d" 101 0.092 0.000639 0.000743
"Aligned_pair1_d" 102 0.097 0.000664 0.000919
"Aligned_pair1_d" 103 0.092 0.000624 0.000789
"Aligned_pair1_d" 104 0.09 0.000567 0.00081
"Aligned_pair1_d" 105 0.086 0.000549 0.000759
"Aligned_pair1_d" 106 0.081 0.000502 0.000598
"Aligned_pair1_d" 107 0.084 0.000552 0.00066
"Aligned_pair1_d" 108 0.077 0.000403 0.000596
"Aligned_pair1_d" 109 0.084 0.000498 0.000673
"Aligned_pair1_d" 110 0.081 0.000436 0.00071
"Aligned_pair1_d" 111 0.081 0.000443 0.000653
