"fin" "slice" "csa" "second_moment_min" "second_moment_max"
"Aligned_pair1_v" 83 0.34 0.006 0.016
"Aligned_pair1_v" 84 0.334 0.005 0.015
"Aligned_pair1_v" 85 0.331 0.006 0.015
"Aligned_pair1_v" 86 0.323 0.005 0.014
"Aligned_pair1_v" 87 0.326 0.005 0.014
"Aligned_pair1_v" 88 0.326 0.005 0.015
"Aligned_pair1_v" 89 0.308 0.004 0.014
"Aligned_pair1_v" 90 0.287 0.004 0.012
"Aligned_pair1_v" 91 0.285 0.004 0.012
"Aligned_pair1_v" 92 0.29 0.004 0.012
"Aligned_pair1_v" 93 0.293 0.004 0.013
"Aligned_pair1_v" 94 0.29 0.004 0.013
"Aligned_pair1_v" 95 0.299 0.004 0.014
"Aligned_pair1_v" 96 0.296 0.004 0.013
"Aligned_pair1_v" 97 0.29 0.004 0.014
"Aligned_pair1_v" 98 0.279 0.003 0.012
"Aligned_pair1_v" 99 0.273 0.003 0.012
"Aligned_pair1_v" 100 0.249 0.003 0.009
"Aligned_pair1_v" 101 0.243 0.002 0.01
"Aligned_pair1_v" 102 0.243 0.002 0.011
"Aligned_pair1_v" 103 0.235 0.002 0.01
"Aligned_pair1_v" 104 0.238 0.002 0.01
"Aligned_pair1_v" 105 0.241 0.002 0.01
"Aligned_pair1_v" 106 0.229 0.002 0.009
"Aligned_pair1_v" 107 0.229 0.002 0.009
"Aligned_pair1_v" 108 0.229 0.002 0.009
"Aligned_pair1_v" 109 0.246 0.003 0.01
"Aligned_pair1_v" 110 0.273 0.003 0.012
"Aligned_pair1_v" 111 0.252 0.003 0.011
"Aligned_pair1_v" 112 0.241 0.002 0.011
"Aligned_pair1_v" 113 0.249 0.002 0.011
"Aligned_pair1_v" 114 0.229 0.002 0.009
"Aligned_pair1_v" 115 0.235 0.002 0.009
"Aligned_pair1_v" 116 0.249 0.003 0.01
"Aligned_pair1_v" 117 0.255 0.003 0.01
"Aligned_pair1_v" 118 0.267 0.003 0.011
"Aligned_pair1_v" 119 0.29 0.004 0.014
"Aligned_pair1_v" 120 0.305 0.004 0.015
"Aligned_pair1_v" 121 0.29 0.004 0.014
"Aligned_pair1_v" 122 0.279 0.004 0.012
"Aligned_pair1_v" 123 0.285 0.004 0.012
"Aligned_pair1_v" 124 0.29 0.004 0.013
"Aligned_pair1_v" 125 0.273 0.003 0.012
"Aligned_pair1_v" 126 0.252 0.003 0.011
"Aligned_pair1_v" 127 0.264 0.003 0.011
"Aligned_pair1_v" 128 0.27 0.003 0.013
"Aligned_pair1_v" 129 0.255 0.002 0.012
"Aligned_pair1_v" 130 0.255 0.002 0.012
"Aligned_pair1_v" 131 0.252 0.002 0.012
"Aligned_pair1_v" 132 0.255 0.002 0.013
"Aligned_pair1_v" 133 0.238 0.002 0.011
"Aligned_pair1_v" 134 0.22 0.001 0.011
"Aligned_pair1_v" 135 0.202 0.001 0.009
"Aligned_pair1_v" 136 0.217 0.002 0.01
"Aligned_pair1_v" 137 0.217 0.001 0.011
"Aligned_pair1_v" 138 0.205 0.001 0.01
"Aligned_pair1_v" 139 0.202 0.001 0.01
"Aligned_pair1_v" 140 0.199 0.001 0.009
"Aligned_pair2_d" 10 0.669 0.018 0.074
"Aligned_pair2_d" 11 0.657 0.018 0.07
"Aligned_pair2_d" 12 0.663 0.017 0.074
"Aligned_pair2_d" 13 0.669 0.018 0.075
"Aligned_pair2_d" 14 0.645 0.016 0.071
"Aligned_pair2_d" 15 0.663 0.018 0.072
"Aligned_pair2_d" 16 0.692 0.02 0.076
"Aligned_pair2_d" 17 0.689 0.02 0.076
"Aligned_pair2_d" 18 0.648 0.018 0.064
"Aligned_pair2_d" 19 0.701 0.021 0.076
"Aligned_pair2_d" 20 0.692 0.021 0.073
"Aligned_pair2_d" 21 0.686 0.02 0.072
"Aligned_pair2_d" 22 0.707 0.022 0.075
"Aligned_pair2_d" 23 0.716 0.023 0.075
"Aligned_pair2_d" 24 0.683 0.022 0.067
"Aligned_pair2_d" 25 0.675 0.022 0.063
"Aligned_pair2_d" 26 0.675 0.022 0.064
"Aligned_pair2_d" 27 0.683 0.022 0.065
"Aligned_pair2_d" 28 0.689 0.023 0.063
"Aligned_pair2_d" 29 0.704 0.025 0.065
"Aligned_pair2_d" 30 0.713 0.025 0.067
"Aligned_pair2_d" 31 0.716 0.026 0.067
"Aligned_pair2_d" 32 0.701 0.024 0.066
"Aligned_pair2_d" 33 0.713 0.025 0.069
"Aligned_pair2_d" 34 0.716 0.025 0.069
"Aligned_pair2_d" 35 0.713 0.025 0.068
"Aligned_pair2_d" 36 0.701 0.025 0.065
"Aligned_pair2_d" 37 0.695 0.024 0.065
"Aligned_pair2_d" 38 0.669 0.021 0.064
"Aligned_pair2_d" 39 0.678 0.023 0.062
"Aligned_pair2_d" 40 0.701 0.026 0.062
"Aligned_pair2_d" 41 0.683 0.024 0.061
"Aligned_pair2_d" 42 0.689 0.025 0.062
"Aligned_pair2_d" 43 0.689 0.024 0.063
"Aligned_pair2_d" 44 0.692 0.024 0.063
"Aligned_pair2_d" 45 0.689 0.024 0.063
"Aligned_pair2_d" 46 0.689 0.024 0.063
"Aligned_pair2_d" 47 0.689 0.024 0.063
"Aligned_pair2_d" 48 0.666 0.023 0.058
"Aligned_pair2_d" 49 0.666 0.022 0.058
"Aligned_pair2_d" 50 0.663 0.022 0.058
"Aligned_pair2_d" 51 0.666 0.023 0.057
"Aligned_pair2_d" 52 0.666 0.022 0.059
"Aligned_pair2_d" 53 0.657 0.022 0.058
"Aligned_pair2_d" 54 0.675 0.022 0.062
"Aligned_pair2_d" 55 0.669 0.022 0.061
"Aligned_pair2_d" 56 0.666 0.022 0.06
"Aligned_pair2_d" 57 0.669 0.022 0.061
"Aligned_pair2_d" 58 0.669 0.022 0.061
"Aligned_pair2_d" 59 0.669 0.022 0.06
"Aligned_pair2_d" 60 0.639 0.02 0.056
"Aligned_pair2_d" 61 0.642 0.02 0.056
"Aligned_pair2_d" 62 0.648 0.021 0.056
"Aligned_pair2_d" 63 0.651 0.022 0.056
"Aligned_pair2_d" 64 0.648 0.021 0.057
"Aligned_pair2_d" 65 0.683 0.023 0.063
"Aligned_pair2_d" 66 0.657 0.021 0.059
"Aligned_pair2_d" 67 0.645 0.021 0.057
"Aligned_pair2_d" 68 0.595 0.018 0.048
"Aligned_pair2_d" 69 0.631 0.02 0.055
"Aligned_pair2_d" 70 0.636 0.02 0.056
"Aligned_pair2_d" 71 0.628 0.019 0.055
"Aligned_pair2_d" 72 0.625 0.019 0.056
"Aligned_pair2_d" 73 0.628 0.019 0.057
"Aligned_pair2_d" 74 0.622 0.019 0.055
"Aligned_pair2_d" 75 0.625 0.02 0.055
"Aligned_pair2_d" 76 0.648 0.021 0.059
"Aligned_pair2_d" 77 0.645 0.021 0.058
"Aligned_pair2_d" 78 0.634 0.021 0.055
"Aligned_pair2_d" 79 0.625 0.021 0.051
"Aligned_pair2_d" 80 0.628 0.021 0.05
"Aligned_pair2_d" 81 0.631 0.021 0.051
"Aligned_pair2_d" 82 0.628 0.021 0.05
"Aligned_pair2_d" 83 0.645 0.022 0.056
"Aligned_pair2_d" 84 0.651 0.022 0.058
"Aligned_pair2_d" 85 0.675 0.023 0.063
"Aligned_pair2_d" 86 0.642 0.022 0.056
"Aligned_pair2_d" 87 0.642 0.022 0.056
"Aligned_pair2_d" 88 0.642 0.022 0.055
"Aligned_pair2_d" 89 0.625 0.021 0.052
"Aligned_pair2_d" 90 0.604 0.02 0.047
"Aligned_pair2_d" 91 0.625 0.022 0.048
"Aligned_pair2_d" 92 0.619 0.022 0.047
"Aligned_pair2_d" 93 0.619 0.022 0.046
"Aligned_pair2_d" 94 0.607 0.021 0.046
"Aligned_pair2_d" 95 0.604 0.021 0.045
"Aligned_pair2_d" 96 0.607 0.021 0.046
"Aligned_pair2_d" 97 0.631 0.021 0.051
"Aligned_pair2_d" 98 0.592 0.02 0.043
"Aligned_pair2_d" 99 0.61 0.022 0.044
"Aligned_pair2_d" 100 0.604 0.022 0.042
"Aligned_pair2_d" 101 0.607 0.022 0.043
"Aligned_pair2_d" 102 0.616 0.023 0.044
"Aligned_pair2_d" 103 0.622 0.023 0.045
"Aligned_pair2_d" 104 0.616 0.022 0.045
"Aligned_pair2_d" 105 0.613 0.022 0.045
"Aligned_pair2_d" 106 0.616 0.022 0.046
"Aligned_pair2_d" 107 0.625 0.023 0.047
"Aligned_pair2_d" 108 0.628 0.023 0.046
"Aligned_pair2_d" 109 0.628 0.023 0.046
"Aligned_pair2_d" 110 0.622 0.023 0.045
"Aligned_pair2_d" 111 0.554 0.018 0.037
"Aligned_pair2_d" 112 0.587 0.022 0.038
"Aligned_pair2_d" 113 0.587 0.022 0.038
"Aligned_pair2_d" 114 0.592 0.022 0.039
"Aligned_pair2_d" 115 0.59 0.021 0.04
"Aligned_pair2_d" 116 0.584 0.021 0.039
"Aligned_pair2_d" 117 0.592 0.023 0.039
"Aligned_pair2_d" 118 0.546 0.018 0.035
"Aligned_pair2_d" 119 0.522 0.015 0.035
"Aligned_pair2_d" 120 0.528 0.016 0.036
"Aligned_pair2_d" 121 0.537 0.016 0.038
"Aligned_pair2_d" 122 0.543 0.016 0.04
"Aligned_pair2_d" 123 0.54 0.016 0.039
"Aligned_pair2_d" 124 0.528 0.015 0.038
"Aligned_pair2_d" 125 0.546 0.017 0.036
"Aligned_pair2_d" 126 0.54 0.017 0.035
"Aligned_pair2_d" 127 0.543 0.017 0.036
"Aligned_pair2_d" 128 0.525 0.016 0.033
"Aligned_pair2_d" 129 0.528 0.016 0.033
"Aligned_pair2_d" 130 0.528 0.016 0.034
"Aligned_pair2_d" 131 0.54 0.015 0.038
"Aligned_pair2_d" 132 0.54 0.015 0.038
"Aligned_pair2_d" 133 0.551 0.016 0.04
"Aligned_pair2_d" 134 0.551 0.016 0.039
"Aligned_pair2_d" 135 0.551 0.016 0.039
"Aligned_pair2_d" 136 0.54 0.016 0.039
"Aligned_pair3_d" 11 0.513 0.012 0.037
"Aligned_pair3_d" 12 0.51 0.012 0.036
"Aligned_pair3_d" 13 0.51 0.012 0.037
"Aligned_pair3_d" 14 0.502 0.012 0.034
"Aligned_pair3_d" 15 0.51 0.013 0.035
"Aligned_pair3_d" 16 0.537 0.014 0.041
"Aligned_pair3_d" 17 0.537 0.014 0.041
"Aligned_pair3_d" 18 0.531 0.013 0.04
"Aligned_pair3_d" 19 0.516 0.012 0.038
"Aligned_pair3_d" 20 0.525 0.013 0.04
"Aligned_pair3_d" 21 0.525 0.013 0.04
"Aligned_pair3_d" 22 0.519 0.013 0.039
"Aligned_pair3_d" 23 0.51 0.013 0.036
"Aligned_pair3_d" 24 0.513 0.013 0.037
"Aligned_pair3_d" 25 0.551 0.013 0.046
"Aligned_pair3_d" 26 0.548 0.014 0.045
"Aligned_pair3_d" 27 0.56 0.014 0.048
"Aligned_pair3_d" 28 0.572 0.014 0.049
"Aligned_pair3_d" 29 0.575 0.015 0.049
"Aligned_pair3_d" 30 0.581 0.015 0.05
"Aligned_pair3_d" 31 0.59 0.016 0.05
"Aligned_pair3_d" 32 0.581 0.015 0.049
"Aligned_pair3_d" 33 0.581 0.015 0.049
"Aligned_pair3_d" 34 0.613 0.018 0.051
"Aligned_pair3_d" 35 0.613 0.018 0.051
"Aligned_pair3_d" 36 0.613 0.018 0.052
"Aligned_pair3_d" 37 0.607 0.018 0.049
"Aligned_pair3_d" 38 0.61 0.018 0.05
"Aligned_pair3_d" 39 0.604 0.018 0.048
"Aligned_pair3_d" 40 0.61 0.019 0.049
"Aligned_pair3_d" 41 0.592 0.018 0.047
"Aligned_pair3_d" 42 0.587 0.016 0.049
"Aligned_pair3_d" 43 0.59 0.017 0.048
"Aligned_pair3_d" 44 0.581 0.016 0.047
"Aligned_pair3_d" 45 0.587 0.017 0.048
"Aligned_pair3_d" 46 0.59 0.017 0.047
"Aligned_pair3_d" 47 0.595 0.017 0.049
"Aligned_pair3_d" 48 0.595 0.017 0.049
"Aligned_pair3_d" 49 0.587 0.017 0.045
"Aligned_pair3_d" 50 0.581 0.017 0.044
"Aligned_pair3_d" 51 0.566 0.016 0.042
"Aligned_pair3_d" 52 0.566 0.016 0.043
"Aligned_pair3_d" 53 0.551 0.016 0.039
"Aligned_pair3_d" 54 0.546 0.015 0.038
"Aligned_pair3_d" 55 0.519 0.013 0.037
"Aligned_pair3_d" 56 0.513 0.013 0.037
"Aligned_pair3_d" 57 0.51 0.012 0.036
"Aligned_pair3_d" 58 0.51 0.012 0.037
"Aligned_pair3_d" 59 0.507 0.012 0.037
"Aligned_pair3_d" 60 0.499 0.011 0.036
"Aligned_pair3_d" 61 0.499 0.011 0.036
"Aligned_pair3_d" 62 0.496 0.011 0.035
"Aligned_pair3_d" 63 0.499 0.012 0.035
"Aligned_pair3_d" 64 0.496 0.012 0.034
"Aligned_pair3_d" 65 0.493 0.012 0.033
"Aligned_pair3_d" 66 0.484 0.012 0.031
"Aligned_pair3_d" 67 0.463 0.01 0.031
"Aligned_pair3_d" 68 0.484 0.012 0.031
"Aligned_pair3_d" 69 0.493 0.012 0.032
"Aligned_pair3_d" 70 0.481 0.012 0.03
"Aligned_pair3_d" 71 0.475 0.011 0.031
"Aligned_pair3_d" 72 0.484 0.012 0.031
"Aligned_pair3_d" 73 0.475 0.011 0.03
"Aligned_pair3_d" 74 0.469 0.011 0.03
"Aligned_pair3_d" 75 0.478 0.011 0.031
"Aligned_pair3_d" 76 0.484 0.011 0.032
"Aligned_pair3_d" 77 0.481 0.011 0.032
"Aligned_pair3_d" 78 0.46 0.01 0.031
"Aligned_pair3_d" 79 0.475 0.01 0.033
"Aligned_pair3_d" 80 0.484 0.011 0.035
"Aligned_pair3_d" 81 0.484 0.011 0.035
"Aligned_pair3_d" 82 0.49 0.011 0.036
"Aligned_pair3_d" 83 0.484 0.01 0.036
"Aligned_pair3_d" 84 0.484 0.01 0.037
"Aligned_pair3_d" 85 0.493 0.01 0.039
"Aligned_pair3_d" 86 0.484 0.01 0.037
"Aligned_pair3_d" 87 0.44 0.008 0.033
"Aligned_pair3_d" 88 0.466 0.009 0.034
"Aligned_pair3_d" 89 0.458 0.009 0.033
"Aligned_pair3_d" 90 0.463 0.009 0.033
"Aligned_pair3_d" 91 0.472 0.01 0.034
"Aligned_pair3_d" 92 0.46 0.01 0.032
"Aligned_pair3_d" 93 0.458 0.009 0.032
"Aligned_pair3_d" 94 0.463 0.01 0.033
"Aligned_pair3_d" 95 0.455 0.009 0.033
"Aligned_pair3_d" 96 0.449 0.009 0.032
"Aligned_pair3_d" 97 0.455 0.009 0.032
"Aligned_pair3_d" 98 0.455 0.009 0.032
"Aligned_pair3_d" 99 0.466 0.009 0.036
"Aligned_pair3_d" 100 0.472 0.009 0.035
"Aligned_pair3_d" 101 0.478 0.01 0.036
"Aligned_pair3_d" 102 0.475 0.009 0.037
"Aligned_pair3_d" 103 0.463 0.009 0.035
"Aligned_pair3_d" 104 0.463 0.009 0.034
"Aligned_pair3_d" 105 0.46 0.009 0.034
"Aligned_pair3_d" 106 0.455 0.008 0.034
"Aligned_pair3_d" 107 0.455 0.008 0.034
"Aligned_pair3_d" 108 0.449 0.008 0.033
"Aligned_pair3_d" 109 0.437 0.008 0.031
"Aligned_pair3_d" 110 0.446 0.008 0.032
"Aligned_pair3_d" 111 0.437 0.008 0.033
"Aligned_pair3_d" 112 0.443 0.008 0.031
"Aligned_pair3_d" 113 0.455 0.009 0.031
"Aligned_pair3_d" 114 0.449 0.009 0.031
"Aligned_pair3_d" 115 0.449 0.009 0.031
"Aligned_pair3_d" 116 0.437 0.008 0.03
"Aligned_pair3_d" 117 0.422 0.007 0.029
"Aligned_pair3_d" 118 0.434 0.008 0.03
"Aligned_pair3_d" 119 0.428 0.007 0.03
"Aligned_pair3_d" 120 0.419 0.007 0.029
"Aligned_pair3_d" 121 0.428 0.008 0.03
"Aligned_pair3_d" 122 0.428 0.008 0.03
"Aligned_pair3_d" 123 0.428 0.008 0.03
"Aligned_pair3_d" 124 0.425 0.007 0.03
"Aligned_pair3_d" 125 0.425 0.007 0.031
"Aligned_pair3_d" 126 0.428 0.007 0.031
"Aligned_pair3_d" 127 0.422 0.007 0.031
"Aligned_pair3_d" 128 0.425 0.007 0.031
"Aligned_pair3_d" 129 0.425 0.007 0.032
"Aligned_pair3_d" 130 0.425 0.007 0.033
"Aligned_pair3_d" 131 0.425 0.007 0.034
"Aligned_pair3_d" 132 0.434 0.007 0.035
"Aligned_pair3_d" 133 0.434 0.007 0.034
"Aligned_pair3_d" 134 0.431 0.007 0.033
"Aligned_pair3_d" 135 0.425 0.007 0.033
"Aligned_pair3_d" 136 0.428 0.007 0.033
"Aligned_pair3_d" 137 0.422 0.007 0.032
"Aligned_pair3_d" 138 0.44 0.008 0.032
"Aligned_pair3_d" 139 0.446 0.009 0.032
"Aligned_pair3_v" 3 0.211 0.002 0.006
"Aligned_pair3_v" 6 0.185 0.002 0.004
"Aligned_pair3_v" 7 0.205 0.002 0.005
"Aligned_pair3_v" 8 0.211 0.003 0.005
"Aligned_pair3_v" 9 0.208 0.003 0.005
"Aligned_pair3_v" 10 0.22 0.003 0.005
"Aligned_pair3_v" 11 0.217 0.003 0.005
"Aligned_pair3_v" 12 0.235 0.004 0.006
"Aligned_pair3_v" 13 0.246 0.004 0.006
"Aligned_pair3_v" 14 0.243 0.004 0.006
"Aligned_pair3_v" 15 0.235 0.004 0.006
"Aligned_pair3_v" 16 0.235 0.004 0.006
"Aligned_pair3_v" 17 0.261 0.005 0.007
"Aligned_pair3_v" 18 0.261 0.005 0.007
"Aligned_pair3_v" 19 0.267 0.005 0.007
