"fin" "slice" "csa" "second_moment_min" "second_moment_max"
"Aligned_ray1_d" 223 0.057 0.00026 0.000698
"Aligned_ray1_d" 224 0.064 0.000324 0.00078
"Aligned_ray1_d" 225 0.059 0.000249 0.000796
"Aligned_ray1_d" 226 0.06 0.00026 0.000785
"Aligned_ray1_d" 227 0.058 0.000216 0.000756
"Aligned_ray1_d" 228 0.055 0.000196 0.000731
"Aligned_ray1_d" 229 0.056 0.000199 0.000738
"Aligned_ray1_d" 230 0.049 0.000169 0.000698
"Aligned_ray1_d" 231 0.051 0.000194 0.00071
"Aligned_ray1_d" 232 0.049 0.000196 0.000709
"Aligned_ray1_d" 233 0.047 0.000157 0.000684
"Aligned_ray1_v" 17 0.05 0.000143 0.000829
"Aligned_ray1_v" 18 0.051 0.000145 0.000831
"Aligned_ray1_v" 19 0.056 0.00017 0.000896
"Aligned_ray1_v" 20 0.057 0.000178 0.000898
"Aligned_ray1_v" 21 0.061 0.000195 0.000959
"Aligned_ray1_v" 22 0.062 0.000196 0.000916
"Aligned_ray1_v" 23 0.064 0.000207 0.000931
"Aligned_ray1_v" 24 0.063 0.000194 0.000913
"Aligned_ray1_v" 25 0.06 0.000181 0.000918
"Aligned_ray1_v" 26 0.06 0.000181 0.000939
"Aligned_ray1_v" 27 0.055 0.000165 0.000919
"Aligned_ray1_v" 28 0.054 0.000159 0.000949
"Aligned_ray1_v" 29 0.053 0.000182 0.000932
"Aligned_ray1_v" 30 0.048 0.000138 0.000828
"Aligned_ray1_v" 31 0.049 0.000128 0.000826
"Aligned_ray1_v" 32 0.049 0.000133 0.000837
"Aligned_ray1_v" 33 0.049 0.000143 0.000832
"Aligned_ray1_v" 34 0.049 0.000138 0.000801
"Aligned_ray1_v" 35 0.045 0.000116 0.000707
"Aligned_ray1_v" 36 0.047 0.000121 0.000742
"Aligned_ray1_v" 37 0.047 0.000124 0.000765
"Aligned_ray1_v" 38 0.046 0.00012 0.000735
"Aligned_ray1_v" 39 0.045 0.000126 0.000692
"Aligned_ray1_v" 40 0.047 0.000133 0.000717
"Aligned_ray1_v" 41 0.047 0.000134 0.00073
"Aligned_ray1_v" 42 0.045 0.000124 0.000675
"Aligned_ray1_v" 43 0.045 0.000119 0.000662
"Aligned_ray1_v" 44 0.047 0.000134 0.000726
"Aligned_ray1_v" 45 0.046 0.000134 0.000714
"Aligned_ray1_v" 46 0.047 0.000124 0.000757
"Aligned_ray1_v" 47 0.05 0.000158 0.000759
"Aligned_ray1_v" 48 0.046 0.000123 0.000682
"Aligned_ray1_v" 49 0.043 0.00011 0.000628
"Aligned_ray1_v" 50 0.043 0.000116 0.000636
"Aligned_ray1_v" 51 0.047 0.000136 0.000695
"Aligned_ray1_v" 52 0.046 0.000136 0.00069
"Aligned_ray1_v" 53 0.048 0.000136 0.000826
"Aligned_ray1_v" 54 0.053 0.000173 0.000878
"Aligned_ray1_v" 55 0.046 0.000137 0.000718
"Aligned_ray1_v" 56 0.044 0.00012 0.000688
"Aligned_ray1_v" 57 0.044 0.000134 0.000664
"Aligned_ray1_v" 58 0.043 0.000128 0.000659
"Aligned_ray1_v" 59 0.048 0.000144 0.000715
"Aligned_ray1_v" 60 0.051 0.000164 0.000774
"Aligned_ray1_v" 61 0.051 0.000167 0.000807
"Aligned_ray1_v" 62 0.06 0.000212 9e-04
"Aligned_ray1_v" 63 0.065 0.000248 0.000997
"Aligned_ray1_v" 64 0.068 0.000258 0.00096
"Aligned_ray1_v" 65 0.065 0.000237 0.000925
"Aligned_ray1_v" 66 0.065 0.000226 0.000926
"Aligned_ray1_v" 67 0.06 0.000198 0.000821
"Aligned_ray1_v" 68 0.055 0.00017 0.000765
"Aligned_ray1_v" 69 0.055 0.000169 0.000796
"Aligned_ray1_v" 70 0.05 0.000151 0.000739
"Aligned_ray1_v" 71 0.051 0.000159 0.000793
"Aligned_ray1_v" 72 0.051 0.000157 0.000786
"Aligned_ray1_v" 73 0.049 0.000153 0.000799
"Aligned_ray1_v" 74 0.05 0.000135 0.000757
"Aligned_ray1_v" 75 0.044 0.000128 0.000635
"Aligned_ray1_v" 76 0.043 0.000116 0.000637
"Aligned_ray1_v" 77 0.045 0.000124 0.000663
"Aligned_ray1_v" 78 0.048 0.000129 0.000686
"Aligned_ray1_v" 79 0.049 0.000145 0.000712
"Aligned_ray1_v" 80 0.048 0.000143 0.000712
"Aligned_ray1_v" 81 0.045 0.000132 0.000645
"Aligned_ray1_v" 82 0.045 0.000127 0.000687
"Aligned_ray1_v" 83 0.047 0.000123 0.000697
"Aligned_ray1_v" 84 0.046 0.000118 0.000716
"Aligned_ray1_v" 85 0.05 0.000128 0.000781
"Aligned_ray1_v" 86 0.049 0.000134 0.000741
"Aligned_ray1_v" 87 0.051 0.000141 0.000801
"Aligned_ray1_v" 88 0.05 0.000133 0.000786
"Aligned_ray1_v" 89 0.048 0.000123 0.000758
"Aligned_ray1_v" 90 0.048 0.000122 0.000747
"Aligned_ray1_v" 91 0.053 0.000146 0.000868
"Aligned_ray1_v" 92 0.051 0.000148 0.000862
"Aligned_ray1_v" 93 0.048 0.000135 0.000768
"Aligned_ray1_v" 94 0.05 0.000126 0.000776
"Aligned_ray1_v" 95 0.05 0.000136 0.000803
"Aligned_ray1_v" 96 0.048 0.00013 0.000782
"Aligned_ray1_v" 97 0.051 0.000139 0.000823
"Aligned_ray1_v" 98 0.052 0.000155 0.000807
"Aligned_ray1_v" 99 0.053 0.000188 0.000815
"Aligned_ray1_v" 100 0.053 0.000191 0.000811
"Aligned_ray1_v" 101 0.055 0.000173 0.000848
"Aligned_ray1_v" 102 0.056 0.000187 0.000875
"Aligned_ray1_v" 103 0.055 0.000179 0.000852
"Aligned_ray1_v" 104 0.049 0.000148 0.000742
"Aligned_ray1_v" 105 0.052 0.000147 0.000809
"Aligned_ray1_v" 106 0.056 0.000173 0.00084
"Aligned_ray1_v" 107 0.056 0.00019 0.000839
"Aligned_ray1_v" 108 0.061 0.000217 0.000857
"Aligned_ray1_v" 109 0.067 0.000253 0.000899
"Aligned_ray1_v" 110 0.068 0.000282 0.000818
"Aligned_ray1_v" 111 0.07 0.000269 0.000853
"Aligned_ray1_v" 112 0.067 0.000268 0.00082
"Aligned_ray1_v" 113 0.067 0.000266 0.000842
"Aligned_ray1_v" 114 0.067 0.000263 0.000887
"Aligned_ray1_v" 115 0.062 0.000234 0.000865
"Aligned_ray1_v" 116 0.057 0.000207 0.000816
"Aligned_ray1_v" 117 0.056 0.000187 0.000823
"Aligned_ray1_v" 118 0.055 0.000177 0.000823
"Aligned_ray1_v" 119 0.05 0.000154 0.000743
"Aligned_ray1_v" 120 0.049 0.000144 0.000724
"Aligned_ray1_v" 121 0.051 0.000146 0.000794
"Aligned_ray1_v" 122 0.05 0.00016 0.000747
"Aligned_ray1_v" 123 0.047 0.000148 0.000685
"Aligned_ray1_v" 124 0.044 0.000136 0.000638
"Aligned_ray1_v" 125 0.046 0.000143 0.000647
